,mouse_lemur__gene_name,human__gene_name,mouse__gene_name,
0,ARNT,ARNT,Arnt,
1,FAM241A,FAM241A,Fam241a,
2,FKTN,FKTN,Fktn,
3,LOC105858624,H1-0,H1f0,
4,FEM1C,FEM1C,Fem1c,
5,LY6G6D,LY6G6D,Ly6g6d,
6,ROGDI,ROGDI,Rogdi,
7,IDUA,IDUA,Idua,
8,NCBP3,NCBP3,Ncbp3,
9,QARS1,QARS1,Qars,
10,TUBG1,TUBG1,Tubg1,
11,SMARCAL1,SMARCAL1,Smarcal1,
12,TBC1D30,TBC1D30,Tbc1d30,
13,NEK5,NEK5,Nek5,
14,RPRD1A,RPRD1A,Rprd1a,
15,TMEM18,TMEM18,Tmem18,
16,OSR2,OSR2,Osr2,
17,NTNG1,NTNG1,Ntng1,
18,NEDD4L,NEDD4L,Nedd4l,
19,PDE7A,PDE7A,Pde7a,
20,HNRNPM,HNRNPM,Hnrnpm,
21,AADACL2,AADACL2,Aadacl2,
22,WNT8B,WNT8B,Wnt8b,
23,FXYD1,FXYD1,Fxyd1,
24,LOC105877553,TNFSF13,Tnfsf13,
25,RPF2,RPF2,Rpf2,
26,C5AR1,C5AR1,C5ar1,
27,TOX,TOX,Tox,
28,RBM18,RBM18,Rbm18,
29,ARHGAP28,ARHGAP28,Arhgap28,
30,CHMP1B,CHMP1B,Chmp1b,
31,TMX2,TMX2,Tmx2,
32,MED13,MED13,Med13,
33,ARHGEF6,ARHGEF6,Arhgef6,
34,RPS6KB2,RPS6KB2,Rps6kb2,
35,ACTG1,ACTG1,Actg1,
36,MAP4K1,MAP4K1,Map4k1,
37,TRIM59,TRIM59,Trim59,
38,KCNJ10,KCNJ10,Kcnj10,
39,SCG3,SCG3,Scg3,
40,B3GNT7,B3GNT7,B3gnt7,
41,ESRRA,ESRRA,Esrra,
42,ZNF518B,ZNF518B,Zfp518b,
43,ESCO1,ESCO1,Esco1,
44,NUDT17,NUDT17,Nudt17,
45,YDJC,YDJC,Ydjc,
46,C3H14orf28,C14orf28,Gm527,
47,ZC3HAV1,ZC3HAV1,Zc3hav1,
48,GFM1,GFM1,Gfm1,
49,KSR2,KSR2,Ksr2,
50,QRFP,QRFP,Qrfp,
51,PEX7,PEX7,Pex7,
52,PTGS2,PTGS2,Ptgs2,
53,GALNTL5,GALNTL5,Galntl5,
54,SLC31A1,SLC31A1,Slc31a1,
55,TTC26,TTC26,Ttc26,
56,CCS,CCS,Ccs,
57,TSFM,TSFM,Tsfm,
58,TMEM251,TMEM251,Tmem251,
59,PNRC2,PNRC2,Pnrc2,
60,GSX2,GSX2,Gsx2,
61,SOWAHD,SOWAHD,Sowahd,
62,CRBN,CRBN,Crbn,
63,MYOCD,MYOCD,Myocd,
64,POLR2L,POLR2L,Polr2l,
65,CIB3,CIB3,Cib3,
66,TCF7,TCF7,Tcf7,
67,COPB2,COPB2,Copb2,
68,SLC15A2,SLC15A2,Slc15a2,
69,CEPT1,CEPT1,Cept1,
70,SLC25A42,SLC25A42,Slc25a42,
71,MAK16,MAK16,Mak16,
72,CEP170B,CEP170B,Cep170b,
73,COPA,COPA,Copa,
74,SPSB2,SPSB2,Spsb2,
75,PTPA,PTPA,Ptpa,
76,U2SURP,U2SURP,U2surp,
77,LIPC,LIPC,Lipc,
78,FEM1B,FEM1B,Fem1b,
79,RNF151,RNF151,Rnf151,
80,TADA3,TADA3,Tada3,
81,R3HCC1L,R3HCC1L,R3hcc1l,
82,C22H19orf54,C19orf54,BC024978,
83,NOG,NOG,Nog,
84,C2H1orf210,C1orf210,2610528J11Rik,
85,THAP1,THAP1,Thap1,
86,SEPTIN3,SEPTIN3,Septin3,
87,LRP8,LRP8,Lrp8,
88,CCDC172,CCDC172,Ccdc172,
89,CA8,CA8,Car8,
90,FUT11,FUT11,Fut11,
